,STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE,CensusTract
0,55,001,950100,2973,+44.204591,-089.794521,55001950100
1,55,001,950201,1379,+44.002663,-089.871206,55001950201
2,55,001,950202,2674,+44.085508,-089.812851,55001950202
3,55,001,950400,4767,+43.957111,-089.799668,55001950400
4,55,001,950501,1469,+43.898427,-089.907775,55001950501
5,55,001,950502,4112,+43.836332,-089.719305,55001950502
6,55,001,950700,3501,+43.721645,-089.711395,55001950700
7,55,003,940000,1867,+46.542445,-090.682170,55003940000
8,55,003,950300,2696,+46.581226,-090.882584,55003950300
9,55,003,950400,2410,+46.579521,-090.898565,55003950400
10,55,003,950500,2201,+46.448232,-090.843027,55003950500
11,55,003,950600,1391,+46.300193,-090.655994,55003950600
12,55,003,950700,2206,+46.071691,-090.532492,55003950700
13,55,003,950800,3386,+46.608755,-090.857826,55003950800
14,55,003,990000,0,+47.129128,-090.184655,55003990000
15,55,005,000100,3829,+45.591106,-091.760775,55005000100
16,55,005,000200,3933,+45.549028,-092.044701,55005000200
17,55,005,000300,4215,+45.431974,-092.053217,55005000300
18,55,005,000400,5465,+45.425097,-091.846456,55005000400
19,55,005,000500,4242,+45.501231,-091.747993,55005000500
20,55,005,000600,6182,+45.495048,-091.724756,55005000600
21,55,005,000800,5435,+45.437949,-091.708134,55005000800
22,55,005,000900,5123,+45.291566,-091.952168,55005000900
23,55,005,001001,1874,+45.297879,-091.715930,55005001001
24,55,005,001002,5572,+45.326848,-091.646675,55005001002
25,55,007,960100,2713,+46.843971,-090.847872,55007960100
26,55,007,960200,1679,+46.696471,-091.391042,55007960200
27,55,007,960300,3661,+46.670109,-090.922044,55007960300
28,55,007,960400,4926,+46.490666,-091.192824,55007960400
29,55,007,960600,2035,+46.250147,-091.303705,55007960600
30,55,007,990000,0,+46.967866,-091.195009,55007990000
31,55,009,000100,2690,+44.525870,-088.021439,55009000100
32,55,009,000200,5963,+44.532630,-088.036763,55009000200
33,55,009,000302,4553,+44.520772,-088.073756,55009000302
34,55,009,000303,2811,+44.534627,-088.065470,55009000303
35,55,009,000401,4632,+44.526607,-088.051653,55009000401
36,55,009,000402,2343,+44.512910,-088.063743,55009000402
37,55,009,000500,2953,+44.519873,-088.033065,55009000500
38,55,009,000600,4097,+44.508791,-088.052588,55009000600
39,55,009,000700,4945,+44.508149,-088.040266,55009000700
40,55,009,000800,1835,+44.511877,-088.026582,55009000800
41,55,009,000900,4029,+44.518737,-087.991091,55009000900
42,55,009,001000,1538,+44.511376,-088.014147,55009001000
43,55,009,001100,2081,+44.511129,-087.990432,55009001100
44,55,009,001200,2323,+44.509661,-088.002983,55009001200
45,55,009,001300,3022,+44.502962,-088.010182,55009001300
46,55,009,001400,3804,+44.498664,-087.999595,55009001400
47,55,009,001600,6505,+44.490288,-087.982671,55009001600
48,55,009,001701,3528,+44.516118,-087.971189,55009001701
49,55,009,001702,3529,+44.511794,-087.959860,55009001702
50,55,009,001801,4971,+44.515392,-087.925130,55009001801
51,55,009,001802,5449,+44.540313,-087.912408,55009001802
52,55,009,002001,8222,+44.497640,-087.961049,55009002001
53,55,009,002002,5157,+44.480031,-087.956818,55009002002
54,55,009,002003,3278,+44.491639,-087.923044,55009002003
55,55,009,010100,6254,+44.447983,-088.040352,55009010100
56,55,009,010201,4581,+44.441231,-088.075397,55009010201
57,55,009,010202,5002,+44.438383,-088.088613,55009010202
58,55,009,010300,6892,+44.433452,-088.053305,55009010300
59,55,009,020100,5645,+44.565520,-087.825563,55009020100
60,55,009,020203,6367,+44.630117,-088.048508,55009020203
61,55,009,020204,4979,+44.624198,-088.104716,55009020204
62,55,009,020502,5306,+44.550329,-088.065835,55009020502
63,55,009,020503,7705,+44.572738,-088.089651,55009020503
64,55,009,020504,4388,+44.572029,-088.114938,55009020504
65,55,009,020600,5172,+44.383166,-087.827331,55009020600
66,55,009,020702,5884,+44.419523,-087.989002,55009020702
67,55,009,020703,6963,+44.458638,-087.936021,55009020703
68,55,009,020704,7710,+44.468858,-087.985432,55009020704
69,55,009,020800,2230,+44.490607,-088.012475,55009020800
70,55,009,020900,2771,+44.478018,-088.019166,55009020900
71,55,009,021000,2731,+44.466787,-088.036155,55009021000
72,55,009,021100,1092,+44.470363,-088.036685,55009021100
73,55,009,021200,5151,+44.459750,-088.025428,55009021200
74,55,009,021301,3305,+44.499134,-088.072399,55009021301
75,55,009,021302,6183,+44.495375,-088.093411,55009021302
76,55,009,021303,3955,+44.486673,-088.063748,55009021303
77,55,009,021304,2117,+44.478040,-088.090520,55009021304
78,55,009,021400,7038,+44.344465,-088.111660,55009021400
79,55,009,021500,3118,+44.273750,-088.043296,55009021500
80,55,009,021600,5929,+44.650112,-088.204999,55009021600
81,55,009,940001,14585,+44.464753,-088.134311,55009940001
82,55,009,940002,4729,+44.518772,-088.121540,55009940002
83,55,009,940003,3298,+44.517428,-088.104785,55009940003
84,55,009,940004,2669,+44.515857,-088.091123,55009940004
85,55,011,960100,2726,+44.500526,-091.676196,55011960100
86,55,011,960200,2900,+44.570430,-091.667815,55011960200
87,55,011,960300,2163,+44.413930,-091.950705,55011960300
88,55,011,960400,2518,+44.266838,-091.830317,55011960400
89,55,011,960500,3280,+44.172112,-091.664728,55011960500
90,55,013,970400,3780,+45.946429,-092.251330,55013970400
91,55,013,970600,1913,+45.813950,-092.150665,55013970600
