No.,State,Location,Latitude,Longtitude,Min Temp,Max Temp,Average Temp,Min RH,Max RH,Average RH,Min WS,Max WS,Average WS,Min WD,Max WD,Average WD,NV hours,NV%
498,WI,Rhinelander Oneida,45.63,-89.47,-22,33,5.81,4,93,73.49,0,27,4.45,0,360,188,2447,27.9
967,WI,Appleton Outagamie,44.25,-88.52,-21,33.3,8.48,4,89,74.47,0,23.7,3.5,0,360,170,2300,26.3
968,WI,Eau Claire County Ap,44.87,-91.48,-32.2,38.3,6.55,8,100,70.12,0,16,3.6,0,360,250,2394,27.3
969,WI,Antigo Lang Awos,45.15,-87.15,-33,32,5.98,8,100,80.26,0,12,5.7,0,360,140,1917,21.9
970,WI,Green Bay Austin Straubel Int,44.48,-88.13,-27.2,34.4,7.36,17,100,73.27,0,12.4,4.23,0,360,195,2453,28
971,WI,Janesville Rock Co,42.62,-89.03,-21,31,8.69,6,91,72.96,0,23.1,3.9,0,360,180,2792,31.9
972,WI,La Crosse Municipal Arpt,43.87,-91.25,-32.8,35.6,8.18,16,100,68.62,0,21.1,3.9,0,360,190,2176,24.8
973,WI,Lone Rock Faa Ap,43.2,-90.18,-26,35,9.15,20,100,72.87,0,25.7,3.3,0,360,165,2604,29.7
974,WI,Madison Dane Co Regional Arpt,43.13,-89.33,-33,34,7.73,16,100,74.24,0,19.6,4.1,0,360,187,2082,23.8
975,WI,Manitowac Muni Awos,44.13,-87.68,-28.4,33.8,7.97,24,100,72.19,0,28.3,4.1,0,360,190,2282,26.1
976,WI,Marshfield Muni,44.63,-90.18,-26,33,7.76,16,100,72.03,0,16,3.5,0,360,162,2684,30.6
977,WI,Milwaukee Mitchell Intl Ap,42.95,-87.9,-24,36,8.09,20,100,73.35,0,18.5,5,0,360,203,2353,26.9
978,WI,Minocqua Woodruff,45.93,-89.73,-31,34.9,5.86,8,100,71.21,0,19,3.2,0,360,170,2590,29.6
979,WI,Mosinee Central Wi,44.78,-89.67,-34.5,32,5.74,13,100,70.83,0,16,3.4,0,360,184,2555,29.2
980,WI,Phillips Price Co,45.7,-90.4,-33,31,6.07,12,100,73.53,0,15.4,2.6,0,360,150,2449,28
981,WI,Rice Lake Municipal,45.48,-91.72,-30,33,5.98,4,100,74.24,0,13.4,3,0,360,145,2068,23.6
982,WI,Sturgeon Bay,44.85,-87.42,-21,32,7.89,17,100,68.48,0,18,4.5,0,360,185,2736,31.2
983,WI,Watertown,43.17,-88.72,-20,34,9.07,13,100,79.63,0,16.6,2.4,0,360,162,2129,24.3
984,WI,Wausau Municipal Arpt,44.92,-89.63,-25,35,7.45,16,100,66.41,0,15.4,3.5,0,360,183,2393,27.3
985,WI,Wittman Rgnl,43.98,-88.55,-28,33.8,6.87,21,100,73.98,0,17.5,4.1,0,360,190,2545,29.1
